season,age,team,games,minutes,FG%,3P%,FT,FT%,rebounds,points,player,RSorPO
2004,19,CLE,79,39.5,0.42,0.3,5.8,0.76,5.5,20.9,Lebron James,Regular Season
2005,20,CLE,80,42.4,0.47,0.36,8,0.75,7.4,27.2,Lebron James,Regular Season
2006,21,CLE,79,42.5,0.48,0.33,10.3,0.74,7,31.4,Lebron James,Regular Season
2007,22,CLE,78,40.9,0.48,0.32,9,0.7,6.7,27.3,Lebron James,Regular Season
2008,23,CLE,75,40.4,0.48,0.31,10.3,0.71,7.9,30,Lebron James,Regular Season
2009,24,CLE,81,37.7,0.49,0.34,9.4,0.78,7.6,28.4,Lebron James,Regular Season
2010,25,CLE,76,39,0.5,0.33,10.2,0.76,7.3,29.7,Lebron James,Regular Season
2011,26,MIA,79,38.8,0.51,0.34,8.4,0.76,7.5,26.7,Lebron James,Regular Season
2012,27,MIA,62,37.5,0.53,0.38,8.1,0.77,7.9,27.1,Lebron James,Regular Season
2013,28,MIA,76,37.9,0.57,0.42,7,0.76,8,26.8,Lebron James,Regular Season
2014,29,MIA,77,37.7,0.57,0.38,7.6,0.75,6.9,27.1,Lebron James,Regular Season
2015,30,CLE,69,36.1,0.49,0.35,7.7,0.7,6,25.3,Lebron James,Regular Season
2016,31,CLE,76,35.6,0.52,0.3,6.5,0.72,7.4,25.3,Lebron James,Regular Season
2017,32,CLE,74,37.8,0.54,0.37,7.2,0.67,8.6,26.4,Lebron James,Regular Season
2018,33,CLE,82,36.9,0.54,0.36,6.5,0.72,8.6,27.5,Lebron James,Regular Season
2019,34,LAL,55,35.2,0.51,0.34,7.6,0.67,8.5,27.4,Lebron James,Regular Season
2006,21,CLE,13,46.5,0.47,0.33,9.1,0.74,8.1,30.8,Lebron James,Playoffs
2007,22,CLE,20,44.7,0.42,0.29,9.8,0.76,8.1,25.1,Lebron James,Playoffs
2008,23,CLE,13,42.5,0.41,0.26,12.8,0.73,7.8,28.2,Lebron James,Playoffs
2009,24,CLE,14,41.4,0.51,0.33,14.2,0.75,9.1,35.3,Lebron James,Playoffs
2010,25,CLE,11,41.8,0.5,0.4,10.9,0.73,9.3,29.1,Lebron James,Playoffs
2011,26,MIA,21,43.9,0.47,0.35,7.4,0.77,8.4,23.7,Lebron James,Playoffs
2012,27,MIA,23,42.7,0.5,0.27,10.2,0.74,9.7,30.3,Lebron James,Playoffs
2013,28,MIA,23,41.7,0.49,0.38,7.6,0.78,8.4,25.9,Lebron James,Playoffs
2014,29,MIA,20,38.2,0.56,0.42,8,0.81,7.1,27.4,Lebron James,Playoffs
2015,30,CLE,20,42.2,0.42,0.24,8.4,0.73,11.3,30.1,Lebron James,Playoffs
2016,31,CLE,21,39.1,0.52,0.33,5.9,0.66,9.5,26.3,Lebron James,Playoffs
